=== REPORTE DE SIMULACION TFG ===
Identificador;17_04_20_01
Turnos Totales Simulados;1999


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;596;26.85%
V1_Completa;TAREAS_DOMESTICAS;514;23.15%
V1_Completa;OBLIGACIONES;425;19.14%
V1_Completa;ALIMENTACION;360;16.22%
V1_Completa;DESCANSO;325;14.64%
V2_Pura;TAREAS_DOMESTICAS;342;24.52%
V2_Pura;OCIO;326;23.37%
V2_Pura;DESCANSO;292;20.93%
V2_Pura;OBLIGACIONES;232;16.63%
V2_Pura;ALIMENTACION;203;14.55%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;283;87.08%
V1_Completa;DESCANSO;desplazamiento_urbano;33;10.15%
V1_Completa;DESCANSO;descanso_diurno;9;2.77%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;274;53.31%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;172;33.46%
V1_Completa;TAREAS_DOMESTICAS;ver_rrss;36;7.0%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;32;6.23%
V1_Completa;OCIO;desplazamiento_urbano;270;45.3%
V1_Completa;OCIO;ocio_hosteleria;90;15.1%
V1_Completa;OCIO;conversacion_social;72;12.08%
V1_Completa;OCIO;consumo_audiovisual;34;5.7%
V1_Completa;OCIO;actividad_fisica;28;4.7%
V1_Completa;OCIO;ver_rrss;25;4.19%
V1_Completa;OCIO;paseo_recreativo;22;3.69%
V1_Completa;OCIO;actividad_cultural;21;3.52%
V1_Completa;OCIO;lectura;18;3.02%
V1_Completa;OCIO;ocio_digital_activo;16;2.68%
V1_Completa;ALIMENTACION;desplazamiento_urbano;157;43.61%
V1_Completa;ALIMENTACION;ingesta_en_hogar;73;20.28%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;51;14.17%
V1_Completa;ALIMENTACION;ingesta_rrss;33;9.17%
V1_Completa;ALIMENTACION;ingesta_ligera;28;7.78%
V1_Completa;ALIMENTACION;interaccion_ingesta;18;5.0%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;193;45.41%
V1_Completa;OBLIGACIONES;jornada_laboral;89;20.94%
V1_Completa;OBLIGACIONES;gestiones_personales;57;13.41%
V1_Completa;OBLIGACIONES;revisar_rrss;36;8.47%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;34;8.0%
V1_Completa;OBLIGACIONES;jornada_academica;16;3.76%
V2_Pura;DESCANSO;sueno_profundo;283;96.92%
V2_Pura;DESCANSO;descanso_diurno;9;3.08%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;274;80.12%
V2_Pura;TAREAS_DOMESTICAS;ver_rrss;36;10.53%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;32;9.36%
V2_Pura;OCIO;ocio_hosteleria;90;27.61%
V2_Pura;OCIO;conversacion_social;72;22.09%
V2_Pura;OCIO;consumo_audiovisual;34;10.43%
V2_Pura;OCIO;actividad_fisica;28;8.59%
V2_Pura;OCIO;ver_rrss;25;7.67%
V2_Pura;OCIO;paseo_recreativo;22;6.75%
V2_Pura;OCIO;actividad_cultural;21;6.44%
V2_Pura;OCIO;lectura;18;5.52%
V2_Pura;OCIO;ocio_digital_activo;16;4.91%
V2_Pura;ALIMENTACION;ingesta_en_hogar;73;35.96%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;51;25.12%
V2_Pura;ALIMENTACION;ingesta_rrss;33;16.26%
V2_Pura;ALIMENTACION;ingesta_ligera;28;13.79%
V2_Pura;ALIMENTACION;interaccion_ingesta;18;8.87%
V2_Pura;OBLIGACIONES;jornada_laboral;89;38.36%
V2_Pura;OBLIGACIONES;gestiones_personales;57;24.57%
V2_Pura;OBLIGACIONES;revisar_rrss;36;15.52%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;34;14.66%
V2_Pura;OBLIGACIONES;jornada_academica;16;6.9%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;126
Cafeteria_Tranquila;79
Plaza_Mayor;47
Restaurante_Familiar;47
Parque_Central;45
Bar_Manolo;41
Biblioteca_Municipal;38
Discoteca_Sur;36
Universidad_Norte;35
Polideportivo;19
Centro_Jubilados;17
Gimnasio_Centro;15
Instituto_Sur;15
