=== REPORTE DE SIMULACION TFG ===
Identificador;22_04_19_47
Turnos Totales Simulados;999


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OBLIGACIONES;292;23.93%
V1_Completa;OCIO;289;23.69%
V1_Completa;TAREAS_DOMESTICAS;250;20.49%
V1_Completa;DESCANSO;249;20.41%
V1_Completa;ALIMENTACION;140;11.48%
V2_Pura;TAREAS_DOMESTICAS;181;30.27%
V2_Pura;OCIO;162;27.09%
V2_Pura;OBLIGACIONES;155;25.92%
V2_Pura;ALIMENTACION;82;13.71%
V2_Pura;DESCANSO;18;3.01%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;231;92.77%
V1_Completa;DESCANSO;desplazamiento_urbano;11;4.42%
V1_Completa;DESCANSO;descanso_diurno;7;2.81%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;137;46.92%
V1_Completa;OBLIGACIONES;jornada_laboral;44;15.07%
V1_Completa;OBLIGACIONES;gestiones_personales;40;13.7%
V1_Completa;OBLIGACIONES;revisar_rrss;39;13.36%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;26;8.9%
V1_Completa;OBLIGACIONES;jornada_academica;6;2.05%
V1_Completa;OCIO;desplazamiento_urbano;127;43.94%
V1_Completa;OCIO;ocio_hosteleria;38;13.15%
V1_Completa;OCIO;ver_rrss;29;10.03%
V1_Completa;OCIO;consumo_audiovisual;22;7.61%
V1_Completa;OCIO;conversacion_social;21;7.27%
V1_Completa;OCIO;paseo_recreativo;20;6.92%
V1_Completa;OCIO;actividad_fisica;17;5.88%
V1_Completa;OCIO;ocio_digital_activo;9;3.11%
V1_Completa;OCIO;actividad_cultural;3;1.04%
V1_Completa;OCIO;lectura;3;1.04%
V1_Completa;ALIMENTACION;desplazamiento_urbano;58;41.43%
V1_Completa;ALIMENTACION;ingesta_en_hogar;30;21.43%
V1_Completa;ALIMENTACION;ingesta_ligera;17;12.14%
V1_Completa;ALIMENTACION;ingesta_rrss;16;11.43%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;11;7.86%
V1_Completa;ALIMENTACION;interaccion_ingesta;8;5.71%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;163;65.2%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;69;27.6%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;18;7.2%
V2_Pura;OBLIGACIONES;jornada_laboral;44;28.39%
V2_Pura;OBLIGACIONES;gestiones_personales;40;25.81%
V2_Pura;OBLIGACIONES;revisar_rrss;39;25.16%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;26;16.77%
V2_Pura;OBLIGACIONES;jornada_academica;6;3.87%
V2_Pura;OCIO;ocio_hosteleria;38;23.46%
V2_Pura;OCIO;ver_rrss;29;17.9%
V2_Pura;OCIO;consumo_audiovisual;22;13.58%
V2_Pura;OCIO;conversacion_social;21;12.96%
V2_Pura;OCIO;paseo_recreativo;20;12.35%
V2_Pura;OCIO;actividad_fisica;17;10.49%
V2_Pura;OCIO;ocio_digital_activo;9;5.56%
V2_Pura;OCIO;actividad_cultural;3;1.85%
V2_Pura;OCIO;lectura;3;1.85%
V2_Pura;ALIMENTACION;ingesta_en_hogar;30;36.59%
V2_Pura;ALIMENTACION;ingesta_ligera;17;20.73%
V2_Pura;ALIMENTACION;ingesta_rrss;16;19.51%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;11;13.41%
V2_Pura;ALIMENTACION;interaccion_ingesta;8;9.76%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;163;90.06%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;18;9.94%
V2_Pura;DESCANSO;sueno_profundo;11;61.11%
V2_Pura;DESCANSO;descanso_diurno;7;38.89%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;84
Cafeteria_Tranquila;38
Parque_Central;26
Plaza_Mayor;25
Universidad_Norte;24
Biblioteca_Municipal;22
Restaurante_Familiar;21
Discoteca_Sur;16
Bar_Manolo;13
Instituto_Sur;10
Polideportivo;9
Gimnasio_Centro;7
Centro_Jubilados;5
