=== REPORTE DE SIMULACION TFG ===
Identificador;22_04_20_01
Turnos Totales Simulados;3111


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;823;24.71%
V1_Completa;TAREAS_DOMESTICAS;727;21.83%
V1_Completa;OBLIGACIONES;691;20.74%
V1_Completa;ALIMENTACION;632;18.97%
V1_Completa;DESCANSO;458;13.75%
V2_Pura;TAREAS_DOMESTICAS;515;26.7%
V2_Pura;OCIO;479;24.83%
V2_Pura;OBLIGACIONES;389;20.17%
V2_Pura;ALIMENTACION;385;19.96%
V2_Pura;DESCANSO;161;8.35%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;343;74.89%
V1_Completa;DESCANSO;desplazamiento_urbano;77;16.81%
V1_Completa;DESCANSO;descanso_diurno;38;8.3%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;452;62.17%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;212;29.16%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;63;8.67%
V1_Completa;OCIO;desplazamiento_urbano;344;41.8%
V1_Completa;OCIO;ocio_hosteleria;123;14.95%
V1_Completa;OCIO;consumo_audiovisual;84;10.21%
V1_Completa;OCIO;ver_rrss;76;9.23%
V1_Completa;OCIO;conversacion_social;70;8.51%
V1_Completa;OCIO;paseo_recreativo;39;4.74%
V1_Completa;OCIO;actividad_fisica;32;3.89%
V1_Completa;OCIO;actividad_cultural;21;2.55%
V1_Completa;OCIO;ocio_digital_activo;19;2.31%
V1_Completa;OCIO;lectura;15;1.82%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;302;43.7%
V1_Completa;OBLIGACIONES;gestiones_personales;118;17.08%
V1_Completa;OBLIGACIONES;jornada_laboral;111;16.06%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;76;11.0%
V1_Completa;OBLIGACIONES;revisar_rrss;75;10.85%
V1_Completa;OBLIGACIONES;jornada_academica;9;1.3%
V1_Completa;ALIMENTACION;desplazamiento_urbano;247;39.08%
V1_Completa;ALIMENTACION;ingesta_en_hogar;135;21.36%
V1_Completa;ALIMENTACION;ingesta_rrss;75;11.87%
V1_Completa;ALIMENTACION;ingesta_ligera;72;11.39%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;64;10.13%
V1_Completa;ALIMENTACION;interaccion_ingesta;39;6.17%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;452;87.77%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;63;12.23%
V2_Pura;OCIO;ocio_hosteleria;123;25.68%
V2_Pura;OCIO;consumo_audiovisual;84;17.54%
V2_Pura;OCIO;ver_rrss;76;15.87%
V2_Pura;OCIO;conversacion_social;70;14.61%
V2_Pura;OCIO;paseo_recreativo;39;8.14%
V2_Pura;OCIO;actividad_fisica;32;6.68%
V2_Pura;OCIO;actividad_cultural;21;4.38%
V2_Pura;OCIO;ocio_digital_activo;19;3.97%
V2_Pura;OCIO;lectura;15;3.13%
V2_Pura;OBLIGACIONES;gestiones_personales;118;30.33%
V2_Pura;OBLIGACIONES;jornada_laboral;111;28.53%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;76;19.54%
V2_Pura;OBLIGACIONES;revisar_rrss;75;19.28%
V2_Pura;OBLIGACIONES;jornada_academica;9;2.31%
V2_Pura;DESCANSO;sueno_profundo;123;76.4%
V2_Pura;DESCANSO;descanso_diurno;38;23.6%
V2_Pura;ALIMENTACION;ingesta_en_hogar;135;35.06%
V2_Pura;ALIMENTACION;ingesta_rrss;75;19.48%
V2_Pura;ALIMENTACION;ingesta_ligera;72;18.7%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;64;16.62%
V2_Pura;ALIMENTACION;interaccion_ingesta;39;10.13%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;172
Cafeteria_Tranquila;108
Plaza_Mayor;82
Universidad_Norte;67
Restaurante_Familiar;63
Parque_Central;61
Biblioteca_Municipal;59
Bar_Manolo;58
Discoteca_Sur;47
Instituto_Sur;26
Polideportivo;20
Gimnasio_Centro;14
Centro_Jubilados;12
Casa;1
