=== REPORTE DE SIMULACION TFG ===
Identificador;22_04_20_05
Turnos Totales Simulados;10451


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;2623;24.58%
V1_Completa;TAREAS_DOMESTICAS;2475;23.19%
V1_Completa;ALIMENTACION;2355;22.07%
V1_Completa;OBLIGACIONES;1981;18.56%
V1_Completa;DESCANSO;1237;11.59%
V2_Pura;TAREAS_DOMESTICAS;1660;25.61%
V2_Pura;OCIO;1592;24.56%
V2_Pura;ALIMENTACION;1441;22.23%
V2_Pura;OBLIGACIONES;1104;17.03%
V2_Pura;DESCANSO;686;10.58%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;767;62.0%
V1_Completa;DESCANSO;desplazamiento_urbano;331;26.76%
V1_Completa;DESCANSO;descanso_diurno;139;11.24%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;877;44.27%
V1_Completa;OBLIGACIONES;gestiones_personales;331;16.71%
V1_Completa;OBLIGACIONES;jornada_laboral;301;15.19%
V1_Completa;OBLIGACIONES;revisar_rrss;220;11.11%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;214;10.8%
V1_Completa;OBLIGACIONES;jornada_academica;38;1.92%
V1_Completa;OCIO;desplazamiento_urbano;1031;39.31%
V1_Completa;OCIO;ocio_hosteleria;421;16.05%
V1_Completa;OCIO;ver_rrss;256;9.76%
V1_Completa;OCIO;consumo_audiovisual;226;8.62%
V1_Completa;OCIO;conversacion_social;209;7.97%
V1_Completa;OCIO;paseo_recreativo;145;5.53%
V1_Completa;OCIO;actividad_fisica;139;5.3%
V1_Completa;OCIO;ocio_digital_activo;79;3.01%
V1_Completa;OCIO;lectura;64;2.44%
V1_Completa;OCIO;actividad_cultural;53;2.02%
V1_Completa;ALIMENTACION;desplazamiento_urbano;914;38.81%
V1_Completa;ALIMENTACION;ingesta_en_hogar;493;20.93%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;343;14.56%
V1_Completa;ALIMENTACION;ingesta_ligera;249;10.57%
V1_Completa;ALIMENTACION;ingesta_rrss;229;9.72%
V1_Completa;ALIMENTACION;interaccion_ingesta;127;5.39%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;1477;59.68%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;815;32.93%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;183;7.39%
V2_Pura;OBLIGACIONES;gestiones_personales;331;29.98%
V2_Pura;OBLIGACIONES;jornada_laboral;301;27.26%
V2_Pura;OBLIGACIONES;revisar_rrss;220;19.93%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;214;19.38%
V2_Pura;OBLIGACIONES;jornada_academica;38;3.44%
V2_Pura;OCIO;ocio_hosteleria;421;26.44%
V2_Pura;OCIO;ver_rrss;256;16.08%
V2_Pura;OCIO;consumo_audiovisual;226;14.2%
V2_Pura;OCIO;conversacion_social;209;13.13%
V2_Pura;OCIO;paseo_recreativo;145;9.11%
V2_Pura;OCIO;actividad_fisica;139;8.73%
V2_Pura;OCIO;ocio_digital_activo;79;4.96%
V2_Pura;OCIO;lectura;64;4.02%
V2_Pura;OCIO;actividad_cultural;53;3.33%
V2_Pura;ALIMENTACION;ingesta_en_hogar;493;34.21%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;343;23.8%
V2_Pura;ALIMENTACION;ingesta_ligera;249;17.28%
V2_Pura;ALIMENTACION;ingesta_rrss;229;15.89%
V2_Pura;ALIMENTACION;interaccion_ingesta;127;8.81%
V2_Pura;DESCANSO;sueno_profundo;547;79.74%
V2_Pura;DESCANSO;descanso_diurno;139;20.26%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;1477;88.98%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;183;11.02%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;492
Cafeteria_Tranquila;368
Restaurante_Familiar;292
Parque_Central;209
Bar_Manolo;205
Plaza_Mayor;205
Instituto_Sur;149
Biblioteca_Municipal;141
Universidad_Norte;141
Discoteca_Sur;127
Centro_Jubilados;68
Polideportivo;67
Gimnasio_Centro;64
