=== REPORTE DE SIMULACION TFG ===
Identificador;22_04_20_11
Turnos Totales Simulados;49999


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;12210;24.31%
V1_Completa;ALIMENTACION;11364;22.63%
V1_Completa;TAREAS_DOMESTICAS;11360;22.62%
V1_Completa;OBLIGACIONES;9733;19.38%
V1_Completa;DESCANSO;5553;11.06%
V2_Pura;TAREAS_DOMESTICAS;7598;24.75%
V2_Pura;OCIO;7347;23.94%
V2_Pura;ALIMENTACION;7021;22.87%
V2_Pura;OBLIGACIONES;5129;16.71%
V2_Pura;DESCANSO;3600;11.73%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;3085;55.56%
V1_Completa;DESCANSO;desplazamiento_urbano;1733;31.21%
V1_Completa;DESCANSO;descanso_diurno;735;13.24%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;4604;47.3%
V1_Completa;OBLIGACIONES;jornada_laboral;1502;15.43%
V1_Completa;OBLIGACIONES;gestiones_personales;1391;14.29%
V1_Completa;OBLIGACIONES;revisar_rrss;1025;10.53%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;985;10.12%
V1_Completa;OBLIGACIONES;jornada_academica;226;2.32%
V1_Completa;ALIMENTACION;desplazamiento_urbano;4343;38.22%
V1_Completa;ALIMENTACION;ingesta_en_hogar;2478;21.81%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;1586;13.96%
V1_Completa;ALIMENTACION;ingesta_ligera;1260;11.09%
V1_Completa;ALIMENTACION;ingesta_rrss;1082;9.52%
V1_Completa;ALIMENTACION;interaccion_ingesta;615;5.41%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;6756;59.47%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;3762;33.12%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;842;7.41%
V1_Completa;OCIO;desplazamiento_urbano;4863;39.83%
V1_Completa;OCIO;ocio_hosteleria;1927;15.78%
V1_Completa;OCIO;consumo_audiovisual;1120;9.17%
V1_Completa;OCIO;ver_rrss;1092;8.94%
V1_Completa;OCIO;conversacion_social;1038;8.5%
V1_Completa;OCIO;paseo_recreativo;708;5.8%
V1_Completa;OCIO;actividad_fisica;575;4.71%
V1_Completa;OCIO;ocio_digital_activo;331;2.71%
V1_Completa;OCIO;lectura;285;2.33%
V1_Completa;OCIO;actividad_cultural;271;2.22%
V2_Pura;OBLIGACIONES;jornada_laboral;1502;29.28%
V2_Pura;OBLIGACIONES;gestiones_personales;1391;27.12%
V2_Pura;OBLIGACIONES;revisar_rrss;1025;19.98%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;985;19.2%
V2_Pura;OBLIGACIONES;jornada_academica;226;4.41%
V2_Pura;ALIMENTACION;ingesta_en_hogar;2478;35.29%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;1586;22.59%
V2_Pura;ALIMENTACION;ingesta_ligera;1260;17.95%
V2_Pura;ALIMENTACION;ingesta_rrss;1082;15.41%
V2_Pura;ALIMENTACION;interaccion_ingesta;615;8.76%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;6756;88.92%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;842;11.08%
V2_Pura;OCIO;ocio_hosteleria;1927;26.23%
V2_Pura;OCIO;consumo_audiovisual;1120;15.24%
V2_Pura;OCIO;ver_rrss;1092;14.86%
V2_Pura;OCIO;conversacion_social;1038;14.13%
V2_Pura;OCIO;paseo_recreativo;708;9.64%
V2_Pura;OCIO;actividad_fisica;575;7.83%
V2_Pura;OCIO;ocio_digital_activo;331;4.51%
V2_Pura;OCIO;lectura;285;3.88%
V2_Pura;OCIO;actividad_cultural;271;3.69%
V2_Pura;DESCANSO;sueno_profundo;2865;79.58%
V2_Pura;DESCANSO;descanso_diurno;735;20.42%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;2731
Cafeteria_Tranquila;2190
Restaurante_Familiar;1241
Plaza_Mayor;1034
Parque_Central;992
Bar_Manolo;729
Instituto_Sur;585
Universidad_Norte;502
Biblioteca_Municipal;468
Discoteca_Sur;417
Centro_Jubilados;372
Polideportivo;269
Gimnasio_Centro;197
