=== REPORTE DE SIMULACION TFG ===
Identificador;22_04_20_41
Turnos Totales Simulados;4999


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;1278;24.48%
V1_Completa;TAREAS_DOMESTICAS;1241;23.77%
V1_Completa;OBLIGACIONES;1029;19.71%
V1_Completa;ALIMENTACION;1028;19.69%
V1_Completa;DESCANSO;644;12.34%
V2_Pura;TAREAS_DOMESTICAS;848;27.51%
V2_Pura;OCIO;756;24.53%
V2_Pura;ALIMENTACION;629;20.41%
V2_Pura;OBLIGACIONES;563;18.27%
V2_Pura;DESCANSO;286;9.28%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;444;68.94%
V1_Completa;DESCANSO;desplazamiento_urbano;138;21.43%
V1_Completa;DESCANSO;descanso_diurno;62;9.63%
V1_Completa;OCIO;desplazamiento_urbano;522;40.85%
V1_Completa;OCIO;ocio_hosteleria;214;16.74%
V1_Completa;OCIO;conversacion_social;120;9.39%
V1_Completa;OCIO;consumo_audiovisual;111;8.69%
V1_Completa;OCIO;ver_rrss;109;8.53%
V1_Completa;OCIO;paseo_recreativo;68;5.32%
V1_Completa;OCIO;actividad_fisica;55;4.3%
V1_Completa;OCIO;ocio_digital_activo;32;2.5%
V1_Completa;OCIO;lectura;24;1.88%
V1_Completa;OCIO;actividad_cultural;23;1.8%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;764;61.56%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;393;31.67%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;84;6.77%
V1_Completa;ALIMENTACION;desplazamiento_urbano;399;38.81%
V1_Completa;ALIMENTACION;ingesta_en_hogar;237;23.05%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;126;12.26%
V1_Completa;ALIMENTACION;ingesta_rrss;113;10.99%
V1_Completa;ALIMENTACION;ingesta_ligera;107;10.41%
V1_Completa;ALIMENTACION;interaccion_ingesta;46;4.47%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;466;45.29%
V1_Completa;OBLIGACIONES;jornada_laboral;174;16.91%
V1_Completa;OBLIGACIONES;gestiones_personales;137;13.31%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;129;12.54%
V1_Completa;OBLIGACIONES;revisar_rrss;105;10.2%
V1_Completa;OBLIGACIONES;jornada_academica;18;1.75%
V2_Pura;OCIO;ocio_hosteleria;214;28.31%
V2_Pura;OCIO;conversacion_social;120;15.87%
V2_Pura;OCIO;consumo_audiovisual;111;14.68%
V2_Pura;OCIO;ver_rrss;109;14.42%
V2_Pura;OCIO;paseo_recreativo;68;8.99%
V2_Pura;OCIO;actividad_fisica;55;7.28%
V2_Pura;OCIO;ocio_digital_activo;32;4.23%
V2_Pura;OCIO;lectura;24;3.17%
V2_Pura;OCIO;actividad_cultural;23;3.04%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;764;90.09%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;84;9.91%
V2_Pura;ALIMENTACION;ingesta_en_hogar;237;37.68%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;126;20.03%
V2_Pura;ALIMENTACION;ingesta_rrss;113;17.97%
V2_Pura;ALIMENTACION;ingesta_ligera;107;17.01%
V2_Pura;ALIMENTACION;interaccion_ingesta;46;7.31%
V2_Pura;OBLIGACIONES;jornada_laboral;174;30.91%
V2_Pura;OBLIGACIONES;gestiones_personales;137;24.33%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;129;22.91%
V2_Pura;OBLIGACIONES;revisar_rrss;105;18.65%
V2_Pura;OBLIGACIONES;jornada_academica;18;3.2%
V2_Pura;DESCANSO;sueno_profundo;224;78.32%
V2_Pura;DESCANSO;descanso_diurno;62;21.68%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;271
Cafeteria_Tranquila;153
Plaza_Mayor;125
Restaurante_Familiar;124
Bar_Manolo;120
Parque_Central;98
Universidad_Norte;76
Instituto_Sur;76
Discoteca_Sur;66
Biblioteca_Municipal;66
Centro_Jubilados;30
Polideportivo;24
Gimnasio_Centro;19
