=== REPORTE DE SIMULACION TFG ===
Identificador;27_04_19_38
Turnos Totales Simulados;999


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;335;27.46%
V1_Completa;TAREAS_DOMESTICAS;265;21.72%
V1_Completa;DESCANSO;259;21.23%
V1_Completa;OBLIGACIONES;228;18.69%
V1_Completa;ALIMENTACION;133;10.9%
V2_Pura;TAREAS_DOMESTICAS;199;32.15%
V2_Pura;OCIO;188;30.37%
V2_Pura;OBLIGACIONES;129;20.84%
V2_Pura;ALIMENTACION;78;12.6%
V2_Pura;DESCANSO;25;4.04%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;239;92.28%
V1_Completa;DESCANSO;desplazamiento_urbano;14;5.41%
V1_Completa;DESCANSO;descanso_diurno;6;2.32%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;99;43.42%
V1_Completa;OBLIGACIONES;gestiones_personales;49;21.49%
V1_Completa;OBLIGACIONES;jornada_laboral;32;14.04%
V1_Completa;OBLIGACIONES;revisar_rrss;25;10.96%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;18;7.89%
V1_Completa;OBLIGACIONES;jornada_academica;5;2.19%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;172;64.91%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;66;24.91%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;27;10.19%
V1_Completa;ALIMENTACION;desplazamiento_urbano;55;41.35%
V1_Completa;ALIMENTACION;ingesta_en_hogar;26;19.55%
V1_Completa;ALIMENTACION;ingesta_rrss;16;12.03%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;13;9.77%
V1_Completa;ALIMENTACION;interaccion_ingesta;12;9.02%
V1_Completa;ALIMENTACION;ingesta_ligera;11;8.27%
V1_Completa;OCIO;desplazamiento_urbano;147;43.88%
V1_Completa;OCIO;ocio_hosteleria;50;14.93%
V1_Completa;OCIO;consumo_audiovisual;32;9.55%
V1_Completa;OCIO;ver_rrss;27;8.06%
V1_Completa;OCIO;conversacion_social;19;5.67%
V1_Completa;OCIO;paseo_recreativo;14;4.18%
V1_Completa;OCIO;lectura;14;4.18%
V1_Completa;OCIO;actividad_fisica;14;4.18%
V1_Completa;OCIO;actividad_cultural;11;3.28%
V1_Completa;OCIO;ocio_digital_activo;7;2.09%
V2_Pura;OBLIGACIONES;gestiones_personales;49;37.98%
V2_Pura;OBLIGACIONES;jornada_laboral;32;24.81%
V2_Pura;OBLIGACIONES;revisar_rrss;25;19.38%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;18;13.95%
V2_Pura;OBLIGACIONES;jornada_academica;5;3.88%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;172;86.43%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;27;13.57%
V2_Pura;ALIMENTACION;ingesta_en_hogar;26;33.33%
V2_Pura;ALIMENTACION;ingesta_rrss;16;20.51%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;13;16.67%
V2_Pura;ALIMENTACION;interaccion_ingesta;12;15.38%
V2_Pura;ALIMENTACION;ingesta_ligera;11;14.1%
V2_Pura;DESCANSO;sueno_profundo;19;76.0%
V2_Pura;DESCANSO;descanso_diurno;6;24.0%
V2_Pura;OCIO;ocio_hosteleria;50;26.6%
V2_Pura;OCIO;consumo_audiovisual;32;17.02%
V2_Pura;OCIO;ver_rrss;27;14.36%
V2_Pura;OCIO;conversacion_social;19;10.11%
V2_Pura;OCIO;paseo_recreativo;14;7.45%
V2_Pura;OCIO;lectura;14;7.45%
V2_Pura;OCIO;actividad_fisica;14;7.45%
V2_Pura;OCIO;actividad_cultural;11;5.85%
V2_Pura;OCIO;ocio_digital_activo;7;3.72%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;59
Cafeteria_Tranquila;35
Plaza_Mayor;25
Universidad_Norte;22
Biblioteca_Municipal;22
Restaurante_Familiar;21
Bar_Manolo;20
Parque_Central;19
Discoteca_Sur;18
Polideportivo;13
Instituto_Sur;10
Gimnasio_Centro;9
Centro_Jubilados;4
