=== REPORTE DE SIMULACION TFG ===
Identificador;27_04_20_02
Turnos Totales Simulados;9999


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;OCIO;2747;26.88%
V1_Completa;TAREAS_DOMESTICAS;2230;21.82%
V1_Completa;ALIMENTACION;2182;21.35%
V1_Completa;OBLIGACIONES;1824;17.85%
V1_Completa;DESCANSO;1237;12.1%
V2_Pura;OCIO;1628;26.31%
V2_Pura;TAREAS_DOMESTICAS;1519;24.55%
V2_Pura;ALIMENTACION;1349;21.8%
V2_Pura;OBLIGACIONES;1021;16.5%
V2_Pura;DESCANSO;670;10.83%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;752;60.79%
V1_Completa;DESCANSO;desplazamiento_urbano;347;28.05%
V1_Completa;DESCANSO;descanso_diurno;138;11.16%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;1338;60.0%
V1_Completa;TAREAS_DOMESTICAS;desplazamiento_urbano;711;31.88%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;181;8.12%
V1_Completa;OCIO;desplazamiento_urbano;1119;40.74%
V1_Completa;OCIO;ocio_hosteleria;400;14.56%
V1_Completa;OCIO;ver_rrss;222;8.08%
V1_Completa;OCIO;conversacion_social;207;7.54%
V1_Completa;OCIO;paseo_recreativo;202;7.35%
V1_Completa;OCIO;consumo_audiovisual;189;6.88%
V1_Completa;OCIO;actividad_fisica;120;4.37%
V1_Completa;OCIO;actividad_cultural;117;4.26%
V1_Completa;OCIO;lectura;94;3.42%
V1_Completa;OCIO;ocio_digital_activo;77;2.8%
V1_Completa;ALIMENTACION;desplazamiento_urbano;833;38.18%
V1_Completa;ALIMENTACION;ingesta_en_hogar;516;23.65%
V1_Completa;ALIMENTACION;ingesta_en_restauracion;310;14.21%
V1_Completa;ALIMENTACION;ingesta_ligera;232;10.63%
V1_Completa;ALIMENTACION;ingesta_rrss;184;8.43%
V1_Completa;ALIMENTACION;interaccion_ingesta;107;4.9%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;803;44.02%
V1_Completa;OBLIGACIONES;gestiones_personales;313;17.16%
V1_Completa;OBLIGACIONES;jornada_laboral;293;16.06%
V1_Completa;OBLIGACIONES;revisar_rrss;205;11.24%
V1_Completa;OBLIGACIONES;conversacion_con_companeros;168;9.21%
V1_Completa;OBLIGACIONES;jornada_academica;42;2.3%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;1338;88.08%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;181;11.92%
V2_Pura;OCIO;ocio_hosteleria;400;24.57%
V2_Pura;OCIO;ver_rrss;222;13.64%
V2_Pura;OCIO;conversacion_social;207;12.71%
V2_Pura;OCIO;paseo_recreativo;202;12.41%
V2_Pura;OCIO;consumo_audiovisual;189;11.61%
V2_Pura;OCIO;actividad_fisica;120;7.37%
V2_Pura;OCIO;actividad_cultural;117;7.19%
V2_Pura;OCIO;lectura;94;5.77%
V2_Pura;OCIO;ocio_digital_activo;77;4.73%
V2_Pura;DESCANSO;sueno_profundo;532;79.4%
V2_Pura;DESCANSO;descanso_diurno;138;20.6%
V2_Pura;ALIMENTACION;ingesta_en_hogar;516;38.25%
V2_Pura;ALIMENTACION;ingesta_en_restauracion;310;22.98%
V2_Pura;ALIMENTACION;ingesta_ligera;232;17.2%
V2_Pura;ALIMENTACION;ingesta_rrss;184;13.64%
V2_Pura;ALIMENTACION;interaccion_ingesta;107;7.93%
V2_Pura;OBLIGACIONES;gestiones_personales;313;30.66%
V2_Pura;OBLIGACIONES;jornada_laboral;293;28.7%
V2_Pura;OBLIGACIONES;revisar_rrss;205;20.08%
V2_Pura;OBLIGACIONES;conversacion_con_companeros;168;16.45%
V2_Pura;OBLIGACIONES;jornada_academica;42;4.11%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;462
Cafeteria_Tranquila;359
Parque_Central;243
Restaurante_Familiar;239
Plaza_Mayor;216
Bar_Manolo;190
Biblioteca_Municipal;172
Universidad_Norte;143
Instituto_Sur;123
Discoteca_Sur;117
Centro_Jubilados;84
Polideportivo;58
Gimnasio_Centro;42
